"Nettoinkomst, medelinkomst för boende i Sverige hela året, tkr efter region, kön, ålder och år"

"region","kön","ålder","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00 Riket","kvinnor","89 år",99.8,95.9,99.6,106.1,110.8,117.7,123.7,135.1,134.9,136.4,140.0,147.4,155.7,158.9,162.2,174.2,176.0,181.6
"00 Riket","kvinnor","90 år",95.0,98.4,100.6,105.6,110.1,116.0,127.5,135.1,137.6,141.2,142.3,148.3,154.5,159.0,165.4,170.4,182.0,183.6
"00 Riket","kvinnor","91 år",96.4,96.3,99.5,105.7,110.5,115.9,124.3,133.5,137.8,141.2,142.9,148.3,160.8,161.2,167.3,167.8,179.2,182.9
"00 Riket","kvinnor","92 år",93.3,96.3,100.3,105.1,110.0,115.2,121.4,137.9,133.0,139.4,145.8,151.6,156.4,163.7,168.3,171.4,179.2,186.7
"00 Riket","kvinnor","93 år",95.0,96.6,100.1,106.5,107.7,116.6,120.6,137.5,132.7,139.4,141.2,154.3,158.8,163.6,169.6,173.7,174.9,191.2
"00 Riket","kvinnor","94 år",92.6,97.0,99.3,105.4,107.0,116.6,124.8,135.5,132.3,140.9,144.7,149.8,162.7,166.7,170.9,178.7,172.7,182.9
"00 Riket","kvinnor","95 år",93.4,94.9,99.3,107.0,107.1,116.5,122.0,136.5,129.8,136.2,142.5,148.4,158.0,167.4,177.5,179.9,182.0,190.4
"00 Riket","kvinnor","96 år",93.6,95.0,99.2,106.1,109.3,114.7,121.6,134.3,132.5,136.3,137.7,149.6,162.7,162.0,177.1,181.0,185.2,185.6
"00 Riket","kvinnor","97 år",94.9,95.7,96.9,105.5,109.4,121.8,125.6,134.7,130.4,134.5,143.3,149.0,158.8,172.2,173.0,188.8,183.6,191.1
"00 Riket","kvinnor","98 år",99.8,96.3,97.4,102.1,111.1,122.7,127.8,130.3,131.4,135.0,140.6,153.9,150.3,153.9,168.1,182.0,179.9,188.6
"00 Riket","kvinnor","99 år",103.6,94.2,105.9,102.4,105.8,112.8,129.3,141.7,129.0,132.4,129.4,150.9,147.3,152.5,162.7,183.8,182.1,206.3
"00 Riket","kvinnor","100+ år",94.0,98.5,97.9,102.1,104.6,107.4,113.5,128.5,125.3,141.2,138.0,141.6,151.3,153.7,161.2,172.4,188.0,179.1
