"Nettoinkomst, medelinkomst för boende i Sverige hela året, tkr efter region, kön, ålder och år"

"region","kön","ålder","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00 Riket","män","52 år",207.1,201.5,209.6,214.9,221.4,237.0,253.4,282.0,284.0,288.2,300.1,311.1,317.6,324.4,342.3,382.1,381.8,394.6
"00 Riket","män","53 år",215.4,198.7,209.8,215.4,222.7,237.3,253.2,278.3,286.2,284.2,297.4,310.9,317.3,324.4,344.5,359.0,383.9,393.9
"00 Riket","män","54 år",205.6,203.9,209.2,217.4,223.2,240.7,254.8,276.0,282.8,288.6,299.2,306.4,318.0,323.0,338.8,359.4,370.3,395.6
"00 Riket","män","55 år",219.4,202.6,210.6,215.3,229.9,244.1,259.2,286.2,276.0,284.5,299.6,317.1,316.4,322.7,344.8,357.8,370.1,385.8
"00 Riket","män","56 år",221.3,205.2,207.1,225.4,221.8,249.0,258.4,288.5,283.5,283.7,297.4,318.1,317.0,318.1,336.3,353.4,369.2,388.1
"00 Riket","män","57 år",211.6,203.4,208.1,215.9,238.2,238.1,262.3,291.3,290.4,283.1,296.3,308.0,314.2,319.1,336.4,359.2,367.1,375.3
"00 Riket","män","58 år",216.5,204.8,209.7,214.9,222.3,256.7,259.9,285.7,269.7,287.0,293.9,304.7,314.6,319.2,333.3,357.0,364.3,378.4
"00 Riket","män","59 år",202.4,201.4,207.2,215.4,226.8,238.5,277.1,282.8,280.6,276.6,295.4,305.1,309.3,315.4,336.9,361.3,364.3,374.8
"00 Riket","män","60 år",200.1,192.2,206.0,215.4,225.1,239.8,256.4,317.7,280.9,283.8,292.6,302.8,310.5,311.9,331.9,352.4,367.0,374.9
"00 Riket","män","61 år",187.0,209.2,198.9,208.0,222.7,242.4,259.1,280.2,309.3,276.2,293.2,301.2,313.3,314.1,328.6,347.3,363.3,368.0
"00 Riket","män","62 år",192.1,177.4,203.5,202.3,215.9,241.0,253.5,287.2,272.8,309.8,289.6,304.7,301.4,319.4,325.0,347.1,354.3,372.1
"00 Riket","män","63 år",182.5,174.7,183.3,201.7,205.8,230.0,257.8,277.8,272.4,271.2,324.2,291.9,300.5,305.1,330.3,340.9,351.4,357.2
"00 Riket","män","64 år",179.4,176.4,182.5,185.3,200.3,218.1,244.8,274.7,263.2,269.7,275.6,285.8,289.7,301.7,315.5,337.4,344.1,349.9
"00 Riket","män","65 år",176.1,173.3,181.1,191.9,197.3,216.4,234.9,271.8,269.6,267.4,277.9,281.7,294.8,301.5,318.3,336.4,347.9,346.6
"00 Riket","män","66 år",169.8,165.2,172.1,179.1,192.1,203.9,223.7,256.0,256.7,264.9,271.8,287.2,290.7,303.2,316.1,337.1,345.0,359.9
"00 Riket","män","67 år",161.3,157.4,162.8,176.9,184.3,200.8,213.3,242.0,240.7,248.6,266.0,274.2,283.0,295.3,319.4,316.8,344.5,344.9
"00 Riket","män","68 år",158.1,151.7,158.8,166.8,179.1,193.8,213.3,226.7,223.2,238.0,251.9,264.6,275.9,285.7,296.3,319.0,316.7,332.8
"00 Riket","män","69 år",157.6,151.0,154.4,162.4,171.9,190.3,201.4,228.5,216.6,225.5,240.2,254.2,268.2,277.8,290.8,299.9,325.0,316.7
"00 Riket","män","70 år",153.4,145.7,147.9,155.9,164.7,178.8,203.1,213.6,208.7,211.5,224.2,236.3,252.8,270.8,280.2,298.7,297.8,314.9
"00 Riket","män","71 år",144.8,142.8,144.4,151.1,157.5,171.7,191.4,209.4,202.3,207.4,213.7,219.4,230.6,249.9,270.4,277.1,280.6,308.8
"00 Riket","män","72 år",143.4,136.3,141.0,149.4,155.2,167.0,182.0,208.4,194.9,200.9,210.9,214.6,223.3,237.8,252.6,272.5,276.4,285.2
"00 Riket","män","73 år",141.8,136.0,140.5,146.6,155.3,163.3,176.4,198.8,192.1,196.7,204.8,213.2,214.8,226.4,245.6,269.5,288.9,302.5
"00 Riket","män","74 år",137.7,136.9,137.4,145.6,152.7,162.7,176.5,195.7,191.8,192.2,199.7,208.6,224.9,220.7,235.0,247.9,263.8,278.2
"00 Riket","män","75 år",137.1,132.1,135.5,142.7,150.5,161.1,172.5,193.1,181.4,185.3,193.9,206.4,215.5,233.2,226.8,238.7,259.8,269.2
"00 Riket","män","76 år",135.2,131.4,134.7,139.9,147.0,155.6,169.9,185.8,177.2,181.3,190.5,196.5,208.0,216.5,227.1,231.4,241.9,252.9
"00 Riket","män","77 år",132.3,131.6,132.9,139.6,146.8,153.3,169.6,182.7,177.0,183.8,183.0,192.3,199.1,215.9,223.0,234.4,238.1,248.5
"00 Riket","män","78 år",129.2,127.4,131.3,138.4,143.2,154.3,164.6,183.8,174.3,181.4,185.1,189.2,201.2,209.7,218.5,235.8,233.3,237.4
"00 Riket","män","79 år",131.9,127.9,129.4,137.2,142.4,154.3,171.4,182.2,177.9,177.5,181.8,186.3,193.6,203.4,211.2,230.3,234.2,244.5
"00 Riket","män","80 år",128.3,126.2,129.3,136.9,143.8,152.8,167.0,181.9,169.5,179.8,182.6,185.4,194.3,196.8,210.3,223.1,229.6,232.5
"00 Riket","män","81 år",130.4,126.7,129.8,133.1,141.4,151.9,165.8,177.6,175.2,172.6,179.2,185.2,190.4,200.9,206.8,216.1,218.0,239.7
"00 Riket","män","82 år",131.7,128.0,129.1,137.1,139.3,148.8,162.3,178.9,170.0,173.7,176.7,188.2,191.9,197.9,205.3,210.5,220.8,226.6
"00 Riket","män","83 år",128.4,128.8,126.4,134.1,140.6,148.5,160.9,175.0,171.3,171.2,176.6,181.4,193.4,197.0,203.1,209.6,214.5,228.6
"00 Riket","män","84 år",124.8,125.6,129.8,134.2,137.4,147.0,160.0,183.2,168.9,172.2,176.0,183.6,187.9,199.1,203.1,213.8,216.3,222.2
"00 Riket","män","85 år",126.2,126.9,127.7,135.4,140.4,147.8,161.6,172.4,168.5,174.0,178.9,183.0,188.4,194.5,202.4,206.5,214.0,221.2
"00 Riket","män","86 år",125.4,121.7,128.5,134.7,137.9,149.0,158.0,174.5,165.8,171.7,176.2,183.5,186.8,197.8,200.1,214.5,216.7,219.1
"00 Riket","män","87 år",118.0,123.8,125.0,133.7,139.6,150.5,159.6,173.9,170.7,170.1,174.8,180.7,190.5,192.3,201.8,203.4,215.6,221.1
"00 Riket","män","88 år",114.2,118.7,128.8,132.1,139.1,144.6,161.9,185.8,167.5,175.2,170.3,179.3,189.4,195.7,206.5,210.9,206.6,220.1
"00 Riket","män","89 år",116.1,114.3,124.3,133.1,135.7,149.0,160.9,175.0,169.4,169.1,174.4,175.0,187.6,196.3,200.5,207.3,211.4,218.3
"00 Riket","män","90 år",114.7,114.1,117.8,128.7,138.9,144.7,161.0,177.2,173.1,178.3,171.9,188.2,187.9,205.3,203.3,211.1,212.5,211.6
"00 Riket","män","91 år",106.1,117.1,120.5,122.9,131.1,142.1,155.8,173.7,177.4,179.4,179.3,173.4,189.6,198.5,207.8,208.8,210.1,225.7
"00 Riket","män","92 år",107.6,105.9,116.8,122.6,126.0,138.1,156.6,174.3,183.4,175.0,179.9,180.5,188.3,200.1,202.6,222.3,216.2,218.9
"00 Riket","män","93 år",106.6,106.3,110.1,120.5,133.3,136.6,160.2,173.3,171.1,169.8,177.4,185.9,192.5,195.5,216.1,213.0,225.5,225.6
"00 Riket","män","94 år",110.6,103.0,115.6,114.9,125.5,144.9,151.2,186.6,162.6,170.3,184.9,176.9,192.9,211.3,206.7,216.1,209.8,243.8
"00 Riket","män","95 år",107.1,141.7,105.8,112.4,122.0,132.2,150.4,160.5,171.6,168.7,179.2,206.7,197.3,208.4,228.7,203.9,221.2,219.0
"00 Riket","män","96 år",103.2,107.7,106.7,112.8,111.9,131.5,142.0,163.4,168.3,174.2,171.1,181.3,223.9,209.7,195.6,218.4,216.0,250.0
"00 Riket","män","97 år",102.3,106.3,105.0,112.8,119.5,123.4,161.0,143.8,164.9,167.8,167.9,174.7,194.1,216.9,224.8,227.8,234.9,256.1
"00 Riket","män","98 år",112.9,99.7,104.5,113.8,124.0,135.5,131.8,216.4,149.5,167.1,178.1,182.3,211.8,200.2,207.2,202.3,206.1,240.8
"00 Riket","män","99 år",108.9,112.2,102.6,112.5,112.6,125.3,142.8,146.7,155.5,159.1,175.1,183.0,231.3,206.8,185.3,221.8,255.2,206.0
"00 Riket","män","100+ år",138.0,115.6,105.7,108.8,117.3,127.7,122.5,143.3,142.2,139.6,159.5,179.7,221.5,189.1,225.2,189.1,199.6,219.5
"00 Riket","kvinnor","16 år",8.5,8.4,8.0,7.6,7.3,7.2,8.1,8.9,8.6,7.8,8.1,8.2,8.6,8.1,8.7,9.1,9.3,9.8
"00 Riket","kvinnor","17 år",18.7,18.8,18.7,19.3,18.1,17.5,19.3,21.0,20.7,19.0,19.2,19.7,20.0,20.0,20.8,22.0,22.4,24.4
"00 Riket","kvinnor","18 år",25.1,25.9,26.3,28.4,27.2,26.3,28.9,32.0,31.8,28.4,28.9,29.7,30.4,30.4,32.1,34.5,36.9,38.0
"00 Riket","kvinnor","19 år",44.6,43.4,45.2,48.5,47.0,47.1,52.2,58.4,58.3,52.0,54.4,57.2,57.3,59.5,62.1,69.1,74.0,76.6
"00 Riket","kvinnor","20 år",69.1,71.2,72.7,77.4,76.5,76.1,81.9,90.3,91.9,85.8,87.2,94.2,96.6,97.2,102.4,110.5,117.9,122.6
"00 Riket","kvinnor","21 år",82.9,83.3,86.9,90.6,90.9,92.1,97.2,105.4,107.4,103.4,104.5,110.1,114.9,116.1,119.7,128.5,134.9,140.1
"00 Riket","kvinnor","22 år",89.7,90.5,93.8,99.0,97.8,100.0,105.0,113.0,116.7,113.6,116.4,120.3,125.5,128.2,132.3,140.1,146.3,151.2
"00 Riket","kvinnor","23 år",96.2,97.1,100.2,104.6,105.5,105.4,111.8,119.7,122.7,122.6,125.1,130.5,134.0,137.8,143.5,151.2,156.9,160.8
"00 Riket","kvinnor","24 år",103.1,104.1,107.0,111.6,110.4,112.6,117.8,127.0,130.5,130.4,134.0,139.1,144.2,146.0,153.7,162.3,167.2,171.2
"00 Riket","kvinnor","25 år",110.0,111.8,114.8,118.7,118.8,119.2,126.4,135.2,138.1,139.0,142.7,148.9,153.7,156.7,162.3,172.6,179.0,183.4
"00 Riket","kvinnor","26 år",116.6,119.7,122.4,126.6,125.2,127.3,133.7,145.7,148.5,148.0,151.2,157.2,163.1,166.3,172.4,181.0,189.2,194.9
"00 Riket","kvinnor","27 år",121.8,126.3,129.5,133.5,132.6,133.0,141.7,152.6,158.5,156.7,159.6,165.4,170.4,174.5,181.4,190.2,196.3,204.3
"00 Riket","kvinnor","28 år",126.6,131.0,135.4,139.1,137.7,141.1,146.6,159.7,164.4,165.7,167.7,172.6,178.1,181.8,190.0,199.8,204.8,210.0
"00 Riket","kvinnor","29 år",130.2,135.6,139.3,145.1,142.8,145.3,153.0,164.5,171.2,170.7,175.9,180.5,184.5,188.0,196.6,207.9,213.0,217.6
"00 Riket","kvinnor","30 år",133.2,139.5,143.4,148.2,146.0,148.9,157.4,170.5,175.2,177.2,181.1,188.9,190.7,194.1,203.0,211.3,218.5,223.1
"00 Riket","kvinnor","31 år",136.8,141.4,146.9,152.0,149.4,153.4,160.7,175.6,181.5,182.2,186.6,194.4,199.5,200.7,208.2,218.2,226.5,229.8
"00 Riket","kvinnor","32 år",138.9,145.4,149.4,156.6,153.0,156.4,165.6,178.2,185.6,188.3,192.0,198.9,204.0,208.4,215.9,224.0,229.7,235.6
"00 Riket","kvinnor","33 år",143.1,149.7,153.2,159.7,155.7,160.7,169.0,184.6,190.1,193.6,199.7,203.5,210.8,215.7,224.8,231.8,237.4,241.9
"00 Riket","kvinnor","34 år",144.8,150.7,156.1,163.6,159.6,164.3,173.9,187.7,195.9,197.5,204.6,212.2,215.2,221.2,231.1,241.3,245.9,248.4
"00 Riket","kvinnor","35 år",148.1,153.7,159.6,167.2,162.7,169.0,177.7,191.8,199.6,203.3,208.3,218.8,223.8,225.3,238.6,247.8,258.6,256.4
"00 Riket","kvinnor","36 år",149.1,155.7,162.9,171.2,165.6,170.9,181.9,196.2,204.4,208.4,215.0,222.3,230.3,234.4,240.2,255.1,261.6,266.0
"00 Riket","kvinnor","37 år",150.5,157.1,165.5,173.5,169.9,175.4,184.2,199.6,209.4,213.7,219.9,228.1,234.8,240.6,250.6,257.0,266.4,270.2
"00 Riket","kvinnor","38 år",150.7,159.9,166.9,175.2,170.7,177.0,188.2,202.1,212.3,216.9,223.9,233.0,240.0,243.5,255.7,265.7,268.7,279.3
"00 Riket","kvinnor","39 år",151.9,161.3,168.6,175.7,173.5,179.1,190.1,207.0,215.3,220.6,228.5,238.6,245.2,249.7,260.5,272.2,281.2,281.4
"00 Riket","kvinnor","40 år",151.4,160.0,168.3,176.9,174.0,181.6,191.8,209.8,217.7,223.7,231.7,242.9,248.3,254.9,267.2,275.1,284.7,289.1
"00 Riket","kvinnor","41 år",152.9,158.3,169.6,175.6,174.8,182.2,193.7,212.1,220.1,226.3,235.0,242.3,253.6,258.8,268.3,285.9,286.8,294.9
"00 Riket","kvinnor","42 år",153.5,158.6,168.3,176.5,174.7,182.4,194.5,214.1,222.7,229.1,236.5,245.4,253.3,261.1,273.5,284.3,290.3,298.0
"00 Riket","kvinnor","43 år",153.2,158.9,168.5,174.5,175.7,181.8,196.1,212.5,221.7,230.5,236.6,247.0,255.8,261.6,276.3,287.3,293.2,301.2
"00 Riket","kvinnor","44 år",151.3,158.2,168.5,174.1,174.7,182.4,194.0,214.5,222.2,230.3,239.2,248.0,255.2,262.3,274.4,289.8,297.4,306.1
"00 Riket","kvinnor","45 år",150.2,158.2,167.3,174.0,174.4,180.5,193.4,211.6,222.7,230.2,237.6,249.6,256.5,262.5,276.1,288.7,297.9,306.1
"00 Riket","kvinnor","46 år",150.0,156.7,166.4,172.6,176.2,181.7,191.6,215.1,219.1,229.3,237.2,247.5,257.2,264.4,274.8,287.1,294.5,306.5
"00 Riket","kvinnor","47 år",149.4,155.8,165.5,172.7,174.2,182.8,192.0,210.0,220.6,226.9,237.2,247.5,255.9,263.4,275.7,287.6,294.9,304.5
"00 Riket","kvinnor","48 år",148.2,154.8,164.9,170.6,174.2,182.5,192.2,211.3,217.6,229.0,235.3,244.3,256.1,261.3,276.2,289.3,293.7,304.8
"00 Riket","kvinnor","49 år",147.8,153.7,163.7,168.4,173.2,181.3,192.3,210.8,217.5,223.9,237.3,244.0,253.4,261.3,273.2,287.4,295.0,301.9
"00 Riket","kvinnor","50 år",146.8,153.4,162.1,168.5,174.7,180.6,191.9,213.0,218.7,223.5,232.2,243.0,249.7,258.4,274.1,284.8,295.7,303.3
"00 Riket","kvinnor","51 år",148.5,151.7,160.2,167.2,172.5,181.2,193.3,210.5,216.9,227.5,232.0,241.5,250.9,255.8,272.4,286.4,294.9,301.1
"00 Riket","kvinnor","52 år",146.4,152.7,160.2,166.2,172.3,179.8,192.0,209.0,216.6,225.0,235.2,240.6,246.9,255.9,268.6,283.3,292.6,300.3
"00 Riket","kvinnor","53 år",145.5,152.3,159.9,164.9,170.2,178.9,191.6,210.2,215.5,223.0,233.1,240.6,248.6,252.5,269.0,280.2,289.2,300.6
"00 Riket","kvinnor","54 år",144.8,148.4,158.7,166.0,170.1,178.2,189.6,211.4,215.0,224.1,233.3,241.1,246.2,252.2,263.0,281.0,283.6,299.3
"00 Riket","kvinnor","55 år",143.8,148.4,156.6,165.9,171.3,178.2,188.0,209.4,214.8,220.5,229.5,238.5,245.2,252.1,264.5,279.1,287.9,292.7
"00 Riket","kvinnor","56 år",144.1,149.8,155.1,160.3,169.9,180.8,187.0,207.0,214.1,221.2,229.5,237.0,242.8,252.1,263.8,277.2,280.3,296.8
"00 Riket","kvinnor","57 år",152.6,145.5,154.7,160.5,167.6,176.2,193.3,206.9,211.5,219.0,228.9,236.2,243.1,249.1,262.7,276.4,279.9,286.8
"00 Riket","kvinnor","58 år",140.8,146.1,153.4,160.2,165.5,175.5,187.7,213.6,208.4,219.3,226.7,234.2,241.1,248.7,261.6,275.1,279.8,286.4
"00 Riket","kvinnor","59 år",137.4,142.4,151.9,158.6,164.2,172.5,186.3,206.6,213.6,214.7,224.6,231.5,239.6,246.0,258.4,270.0,278.0,288.1
"00 Riket","kvinnor","60 år",136.6,138.9,148.8,156.4,164.7,173.3,186.1,204.5,209.5,220.7,222.0,232.3,240.3,245.2,259.0,271.1,275.5,289.1
"00 Riket","kvinnor","61 år",131.6,133.5,143.4,152.8,161.8,170.4,186.3,202.7,204.0,214.6,229.9,226.5,234.8,242.8,255.3,270.0,272.9,285.6
"00 Riket","kvinnor","62 år",129.2,128.9,137.8,148.4,157.5,168.5,184.2,205.3,201.3,208.3,218.2,231.6,230.5,240.4,252.5,265.7,269.2,278.6
"00 Riket","kvinnor","63 år",125.5,124.1,132.9,140.8,151.5,162.9,178.4,198.3,200.6,202.0,211.2,218.7,233.7,230.3,247.9,258.4,264.0,273.2
"00 Riket","kvinnor","64 år",121.0,122.7,128.0,137.2,146.6,157.0,172.6,191.9,191.1,198.4,204.6,210.7,221.7,233.5,236.9,255.6,256.0,263.7
"00 Riket","kvinnor","65 år",118.9,119.9,126.1,136.3,143.8,152.2,164.7,189.9,187.4,191.4,199.1,203.4,213.9,222.2,239.6,247.2,247.3,257.4
"00 Riket","kvinnor","66 år",111.2,115.7,118.9,127.6,132.5,140.2,151.0,175.1,174.2,182.1,189.5,201.1,207.8,217.6,230.9,250.0,242.2,254.3
"00 Riket","kvinnor","67 år",110.3,109.6,114.9,123.1,130.0,136.9,147.8,167.9,165.4,173.9,184.7,192.0,200.3,208.4,219.6,239.9,244.6,242.8
"00 Riket","kvinnor","68 år",106.6,107.7,111.3,120.4,126.8,133.5,144.3,160.1,156.5,165.0,174.5,184.8,194.3,201.5,207.9,218.2,227.9,247.6
"00 Riket","kvinnor","69 år",106.9,105.3,109.5,116.2,122.7,129.9,142.8,156.4,153.2,157.0,167.3,178.2,187.6,198.1,206.7,213.5,220.0,227.4
"00 Riket","kvinnor","70 år",102.4,103.7,105.3,113.6,117.3,126.6,136.3,151.5,147.2,150.4,157.2,167.8,177.8,187.6,194.8,201.8,204.8,213.7
"00 Riket","kvinnor","71 år",100.1,99.0,103.2,109.6,116.1,121.6,132.6,146.1,144.1,145.6,148.8,157.7,167.1,177.0,186.0,195.4,196.6,199.2
"00 Riket","kvinnor","72 år",99.1,99.3,101.6,110.0,112.7,120.3,129.2,144.0,141.1,145.1,146.3,155.0,161.8,172.2,180.8,191.3,193.8,200.9
"00 Riket","kvinnor","73 år",98.9,98.0,101.0,108.0,111.7,119.1,126.7,140.3,137.6,143.2,147.2,151.1,159.1,164.3,171.4,183.2,190.0,195.7
"00 Riket","kvinnor","74 år",98.1,99.1,100.5,106.9,111.3,118.3,127.5,138.9,135.1,141.8,144.5,152.3,157.6,164.2,168.9,178.5,184.0,200.0
"00 Riket","kvinnor","75 år",97.2,96.6,100.1,105.5,111.0,116.0,127.0,138.1,134.4,137.5,143.0,149.8,156.9,160.9,166.8,172.6,180.6,188.2
"00 Riket","kvinnor","76 år",95.3,96.4,99.3,106.2,109.5,116.2,124.3,138.6,134.0,136.6,139.3,147.8,154.6,162.3,163.9,169.5,176.2,182.2
"00 Riket","kvinnor","77 år",95.7,95.7,99.3,105.6,110.2,114.5,124.7,136.8,133.6,136.8,139.1,146.5,153.8,160.3,166.7,169.3,172.2,179.3
"00 Riket","kvinnor","78 år",94.3,95.6,98.1,105.6,109.7,116.1,124.3,135.2,133.8,136.5,138.2,146.5,150.3,157.3,162.4,167.3,169.0,177.6
"00 Riket","kvinnor","79 år",95.5,95.0,98.2,104.1,108.9,115.5,126.5,133.9,133.6,135.0,139.5,145.6,150.7,153.7,163.1,168.8,173.5,175.5
"00 Riket","kvinnor","80 år",97.7,96.4,99.2,104.9,108.4,115.4,125.9,133.6,131.9,134.5,136.5,145.5,150.5,158.0,159.7,164.2,169.1,183.8
"00 Riket","kvinnor","81 år",98.5,97.5,99.3,104.5,109.1,115.1,124.8,135.0,132.0,135.1,139.5,144.2,151.0,156.7,158.5,163.7,167.6,175.2
"00 Riket","kvinnor","82 år",98.5,97.7,100.7,105.8,108.2,114.2,123.2,133.8,133.2,135.1,136.6,146.0,153.2,156.8,162.4,164.9,167.3,177.1
"00 Riket","kvinnor","83 år",96.1,98.6,101.1,105.8,108.9,113.7,123.3,132.5,132.7,135.1,140.2,143.6,151.1,155.9,161.9,165.9,170.6,174.4
"00 Riket","kvinnor","84 år",94.8,96.7,102.6,109.1,109.8,116.0,122.7,134.1,130.7,135.2,139.4,146.7,151.6,157.1,162.1,167.9,167.5,176.1
"00 Riket","kvinnor","85 år",97.7,96.5,101.4,107.5,112.5,115.7,123.4,131.2,131.3,134.3,139.6,145.1,151.9,158.4,161.9,165.1,171.5,173.7
"00 Riket","kvinnor","86 år",96.3,98.2,101.0,108.6,110.9,117.7,126.1,134.3,131.2,136.6,137.4,144.6,153.4,160.6,160.7,166.8,170.1,178.6
"00 Riket","kvinnor","87 år",94.6,96.8,100.8,105.8,111.4,117.3,130.3,134.3,132.2,135.1,140.0,145.6,152.8,160.1,163.7,164.4,171.0,181.5
"00 Riket","kvinnor","88 år",95.5,96.9,99.7,108.0,109.4,117.4,125.7,140.7,133.4,136.6,140.8,144.8,152.6,161.3,166.9,170.1,171.8,178.9
