"Levande födda efter region, moderns ålder, kön och år"

"region","moderns ålder","kön","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00 Riket","24 år","kvinnor",4424,4362,4614,4636,4491,4209,3990,3582,3391,3242,3024,3279,3170,3117,2821,2728,2739,2831,2892,3105,3523,3722,3811,3658,3459,3059,2856,2507,2251,1931,1771,1670,1608,1556,1511,1499,1573,1523,1579,1725,1786,1903,1984,2017,2110,2031,2123,2020,1955,1756,1796
"00 Riket","25 år","män",4785,4730,4817,5170,5004,4660,4620,4333,3856,3825,3661,3533,3642,3434,3468,3321,3287,3439,3502,3503,4006,4401,4609,4472,4348,3858,3312,3052,2768,2552,2187,2223,2244,2057,2077,1955,2084,2005,2072,2125,2254,2247,2464,2466,2588,2536,2672,2882,2674,2519,2345
"00 Riket","25 år","kvinnor",4333,4416,4583,4887,4754,4519,4345,4104,3680,3502,3388,3409,3343,3312,3248,3158,3092,3201,3268,3376,3761,4066,4451,4196,4217,3579,3340,2935,2590,2497,2215,2185,2016,1863,1879,1896,1994,1940,1969,2007,2138,2142,2365,2321,2362,2529,2554,2705,2609,2381,2300
"00 Riket","26 år","män",4304,4548,4896,5182,5025,4834,4763,4568,4079,3809,3717,3798,3710,3643,3653,3653,3627,3707,3794,3781,4209,4433,5071,4990,4773,4595,4115,3380,3278,2996,3005,2662,2643,2614,2471,2374,2356,2423,2487,2552,2590,2660,2860,2750,2996,3043,3188,3325,3448,3188,3119
"00 Riket","26 år","kvinnor",4031,4200,4571,4789,4642,4610,4542,4107,3805,3649,3535,3580,3504,3388,3358,3396,3452,3466,3549,3603,3947,4230,4803,4684,4542,4377,3813,3349,3099,2873,2646,2515,2574,2400,2301,2293,2260,2256,2416,2402,2446,2470,2658,2734,2858,2813,3142,3082,3259,3038,2803
"00 Riket","27 år","män",3770,4000,4490,4718,4753,4731,4622,4372,4145,3852,3565,3848,3811,3556,3633,3655,3805,3847,3913,3888,4246,4363,4792,5237,5072,4842,4553,4095,3440,3180,3146,3040,3205,3056,3032,2887,2836,2773,2984,3049,2941,3140,3132,3144,3318,3359,3470,3786,3813,3750,3710
"00 Riket","27 år","kvinnor",3522,3600,4149,4423,4514,4372,4361,4077,4001,3705,3415,3640,3681,3432,3439,3428,3549,3601,3693,3727,3941,4080,4560,4851,4830,4623,4314,3735,3272,3033,3010,2995,2968,2924,2873,2767,2654,2659,2849,2886,2818,2899,3015,2915,3052,3067,3358,3420,3609,3719,3396
"00 Riket","28 år","män",3237,3254,3594,4231,4360,4234,4357,3984,3827,3799,3563,3687,3722,3697,3562,3529,3661,3907,3914,3995,4169,4349,4756,4969,5170,4871,4854,4338,3639,3545,3377,3374,3510,3335,3587,3463,3300,3191,3312,3272,3535,3480,3609,3491,3574,3724,3865,3979,4183,4107,4338
"00 Riket","28 år","kvinnor",3155,3086,3571,3809,4001,4067,4052,3912,3686,3511,3369,3435,3591,3415,3335,3336,3548,3724,3714,3861,4008,4109,4361,4657,4866,4723,4499,4067,3555,3335,3122,3207,3200,3098,3340,3224,3117,3018,3102,3224,3326,3289,3419,3269,3328,3497,3656,3546,3970,3828,4132
"00 Riket","29 år","män",3021,2951,2897,3407,3689,3894,3857,3753,3539,3611,3400,3592,3435,3299,3303,3413,3556,3681,3983,3993,4182,4266,4316,4477,4737,4919,4714,4389,3920,3700,3436,3505,3719,3588,3782,3977,3834,3708,3768,3601,3932,3935,4077,3806,3717,3886,4058,4316,4317,4399,4557
